conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
143,1000 Free,M,16,2027,650.52,10:50.52,634.6599,10:34.66,666.3802,11:06.38,0.9207,0.0024,2.734571,-4892.4562,6
143,1650 Free,M,1,2027,956.8396,15:56.84,926.1861,15:26.19,987.493,16:27.49,0.3501,0.0158,1.741992,-2574.1785,16
143,1650 Free,M,8,2027,998.1877,16:38.19,959.8892,15:59.89,1036.4863,17:16.49,0.0452,0.4292,0.645195,-309.6231,16
143,1650 Free,M,16,2027,1036.1622,17:16.16,985.6633,16:25.66,1086.6611,18:06.66,0.1132,0.2202,-1.337657,3747.5925,15
143,200 Back,M,1,2027,107.8874,1:47.89,103.4911,1:43.49,112.2836,1:52.28,0.0015,0.886,-0.013282,134.8091,16
143,200 Back,M,8,2027,117.4695,1:57.47,110.2271,1:50.23,124.7118,2:04.71,0.1451,0.1454,0.231029,-350.8264,16
143,200 Back,M,16,2027,124.4271,2:04.43,112.5614,1:52.56,136.2928,2:16.29,0.0945,0.2649,0.283567,-450.364,15
143,200 Back,M,24,2027,124.4771,2:04.48,114.3684,1:54.37,125.7976,2:05.80,0.0536,0.708,-0.055,231.568,5
143,200 Breast,M,1,2027,121.6969,2:01.70,115.9921,1:55.99,127.4017,2:07.40,0.0189,0.6113,0.061363,-2.6862,16
143,200 Breast,M,8,2027,130.1917,2:10.19,121.7679,2:01.77,138.6154,2:18.62,0.045,0.4481,0.13846,-150.4671,15
143,200 Breast,M,16,2027,134.4127,2:14.41,123.4159,2:03.42,145.4095,2:25.41,0.0012,0.9045,-0.027674,190.5074,15
143,200 Breast,M,24,2027,134.4627,2:14.46,88.2128,1:28.21,134.8739,2:14.87,0.7651,0.0226,-2.130429,4429.9221,6
143,200 Fly,M,1,2027,111.9255,1:51.93,108.3738,1:48.37,115.4772,1:55.48,0.19,0.0914,0.133184,-158.0391,16
143,200 Fly,M,8,2027,115.9632,1:55.96,110.646,1:50.65,121.2803,2:01.28,0.0365,0.4782,-0.080165,278.4586,16
143,200 Fly,M,16,2027,122.2932,2:02.29,118.0,1:58.00,126.5864,2:06.59,0.1999,0.0825,0.166125,-214.4432,16
143,200 Fly,M,24,2027,122.3432,2:02.34,94.0813,1:34.08,139.7744,2:19.77,0.4147,0.356,-0.462857,1055.1393,4
143,200 Free,M,1,2027,98.6346,1:38.63,96.2296,1:36.23,101.0397,1:41.04,0.0156,0.6449,-0.023442,146.1507,16
143,200 Free,M,8,2027,103.8118,1:43.81,99.9218,1:39.92,107.7017,1:47.70,0.0847,0.2743,0.091585,-81.8312,16
143,200 Free,M,16,2027,106.2617,1:46.26,101.7969,1:41.80,110.7266,1:50.73,0.0161,0.64,0.044167,16.7351,16
143,200 Free,M,24,2027,106.3117,1:46.31,71.0147,1:11.01,122.1711,2:02.17,0.3214,0.2407,-0.890714,1902.0707,6
143,200 Free Relay,M,1,2027,81.3597,1:21.36,78.9304,1:18.93,83.7891,1:23.79,0.0222,0.6616,-0.034487,151.2654,11
143,200 IM,M,1,2027,110.319,1:50.32,106.3293,1:46.33,114.3087,1:54.31,0.0268,0.5444,0.051284,6.3665,16
143,200 IM,M,8,2027,114.3324,1:54.33,110.6226,1:50.62,118.0421,1:58.04,0.2457,0.0509,-0.163927,446.6125,16
143,200 IM,M,16,2027,120.3005,2:00.30,115.3294,1:55.33,125.2715,2:05.27,0.1759,0.1196,0.170122,-224.5376,15
143,200 IM,M,24,2027,120.3505,2:00.35,110.1896,1:50.19,118.0244,1:58.02,0.818,0.0349,-0.336,795.179,5
143,200 Medley Relay,M,1,2027,89.8687,1:29.87,85.475,1:25.47,94.2625,1:34.26,0.006,0.8203,0.032239,24.5206,11
