conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
40,100 Fly,M,16,2027,57.793,57.79,51.9456,51.95,63.6405,1:03.64,0.1094,0.2108,-0.108594,277.9126,16
40,100 Free,M,1,2027,45.4607,45.46,44.8958,44.90,46.0256,46.03,0.6673,0.0,-0.0477,142.148,23
40,100 Free,M,8,2027,47.0712,47.07,46.4406,46.44,47.7017,47.70,0.7974,0.0,-0.074571,198.2276,23
40,100 Free,M,16,2027,48.9141,48.91,45.7515,45.75,52.0766,52.08,0.4744,0.0191,-0.125717,303.7431,11
40,1650 Free,M,1,2027,959.0534,15:59.05,944.3933,15:44.39,973.7136,16:13.71,0.3317,0.004,-0.615747,2207.1719,23
40,1650 Free,M,8,2027,1028.2425,17:08.24,997.0518,16:37.05,1059.4331,17:39.43,0.3112,0.007,-1.215214,3491.4803,22
40,1650 Free,M,16,2027,1107.3849,18:27.38,1069.7406,17:49.74,1145.0292,19:05.03,0.8239,0.0001,-4.059806,9336.6119,11
40,200 Back,M,1,2027,110.882,1:50.88,106.7276,1:46.73,115.0364,1:55.04,0.0356,0.3889,-0.04755,207.2663,23
40,200 Back,M,8,2027,118.0297,1:58.03,113.9028,1:53.90,122.1567,2:02.16,0.552,0.0,-0.273111,671.6254,23
40,200 Back,M,16,2027,133.3311,2:13.33,126.6933,2:06.69,139.9689,2:19.97,0.358,0.0398,-0.280594,702.0957,12
40,200 Breast,M,1,2027,120.2616,2:00.26,115.9611,1:55.96,124.5621,2:04.56,0.5988,0.0,-0.313206,755.1295,23
40,200 Breast,M,8,2027,131.4935,2:11.49,127.9455,2:07.95,135.0415,2:15.04,0.6535,0.0,-0.290504,720.3453,23
40,200 Breast,M,16,2027,142.4049,2:22.40,133.4184,2:13.42,151.3914,2:31.39,0.6953,0.0027,-0.685443,1531.7989,10
40,200 Fly,M,1,2027,112.9636,1:52.96,110.1859,1:50.19,115.7413,1:55.74,0.0164,0.5605,-0.021377,156.2939,23
40,200 Fly,M,8,2027,119.5259,1:59.53,116.18,1:56.18,122.8719,2:02.87,0.7577,0.0,-0.352732,834.5133,23
40,200 Fly,M,16,2027,140.2519,2:20.25,134.7089,2:14.71,145.7949,2:25.79,0.5502,0.0563,-0.231849,610.2108,7
40,200 Free,M,1,2027,100.1805,1:40.18,98.2913,1:38.29,102.0698,1:42.07,0.6814,0.0,-0.164705,434.037,23
40,200 Free,M,8,2027,104.0974,1:44.10,101.843,1:41.84,106.3517,1:46.35,0.737,0.0,-0.225002,560.1762,23
40,200 Free,M,16,2027,115.9648,1:55.96,105.4163,1:45.42,126.5133,2:06.51,0.0088,0.7602,0.04628,22.1542,13
40,200 Free Relay,M,1,2027,82.3586,1:22.36,81.3293,1:21.33,83.3879,1:23.39,0.6179,0.0003,-0.066292,216.732,16
40,200 Free Relay,M,8,2027,87.6538,1:27.65,85.7297,1:25.73,89.5779,1:29.58,0.5833,0.0009,-0.114513,319.7723,15
40,200 Free Relay,M,16,2027,95.5724,1:35.57,89.9321,1:29.93,101.2127,1:41.21,0.1528,0.2641,-0.118523,335.8195,10
40,200 IM,M,1,2027,109.1798,1:49.18,106.8365,1:46.84,111.523,1:51.52,0.7953,0.0,-0.275323,667.2596,23
40,200 IM,M,8,2027,116.2548,1:56.25,112.1031,1:52.10,120.4064,2:00.41,0.4917,0.0002,-0.243448,609.724,23
40,200 IM,M,16,2027,132.5397,2:12.54,122.6151,2:02.62,142.4643,2:22.46,0.0397,0.557,-0.096358,327.8577,11
40,200 Medley Relay,M,1,2027,90.5193,1:30.52,88.7689,1:28.77,92.2698,1:32.27,0.8153,0.0,-0.189537,474.7109,15
40,200 Medley Relay,M,8,2027,98.6955,1:38.70,96.4939,1:36.49,100.8971,1:40.90,0.6708,0.0006,-0.185227,474.1513,13
40,200 Medley Relay,M,16,2027,114.2686,1:54.27,109.3482,1:49.35,119.1891,1:59.19,0.7349,0.0291,0.645211,-1193.5746,6
40,400 Free Relay,M,1,2027,182.4243,3:02.42,180.7209,3:00.72,184.1277,3:04.13,0.7922,0.0,-0.167607,522.1638,14
40,400 Free Relay,M,8,2027,194.3964,3:14.40,192.1469,3:12.15,196.6458,3:16.65,0.8051,0.0,-0.230379,661.3739,14
40,400 Free Relay,M,16,2027,198.8093,3:18.81,182.5915,3:02.59,215.0272,3:35.03,0.803,0.0,-1.585647,3412.9155,13
40,400 IM,M,1,2027,240.3362,4:00.34,231.9117,3:51.91,248.7606,4:08.76,0.2851,0.0087,-0.317157,883.2132,23
40,400 IM,M,8,2027,257.3182,4:17.32,248.4318,4:08.43,266.2047,4:26.20,0.4326,0.0006,-0.462603,1195.0148,23
40,400 IM,M,16,2027,292.1836,4:52.18,287.9323,4:47.93,296.4349,4:56.43,0.9257,0.0379,-0.260459,820.133,4
40,400 Medley Relay,M,1,2027,199.6914,3:19.69,196.9906,3:16.99,202.3922,3:22.39,0.8727,0.0,-0.351661,912.5081,15
40,400 Medley Relay,M,8,2027,215.934,3:35.93,210.9244,3:30.92,220.9437,3:40.94,0.7399,0.0,-0.420197,1067.6731,15
40,400 Medley Relay,M,16,2027,239.9539,3:59.95,231.7459,3:51.75,248.1619,4:08.16,0.0739,0.4475,-0.125767,494.8838,10
40,50 Free,M,1,2027,20.7143,20.71,20.5105,20.51,20.918,20.92,0.6584,0.0,-0.016864,54.8977,23
40,50 Free,M,8,2027,21.3928,21.39,21.0107,21.01,21.7749,21.77,0.7237,0.0,-0.03686,96.1082,23
40,50 Free,M,16,2027,22.4282,22.43,21.5622,21.56,23.2941,23.29,0.3574,0.0186,-0.033069,89.46,15
40,500 Free,M,1,2027,273.4787,4:33.48,269.0777,4:29.08,277.8797,4:37.88,0.569,0.0,-0.301453,884.5245,23
40,500 Free,M,8,2027,287.2199,4:47.22,281.0392,4:41.04,293.4006,4:53.40,0.4609,0.0004,-0.340683,977.7847,23
40,500 Free,M,16,2027,312.0782,5:12.08,275.9219,4:35.92,348.2345,5:48.23,0.2273,0.0995,-0.911923,2160.547,13
40,800 Free Relay,M,1,2027,407.9021,6:47.90,387.0181,6:27.02,428.7861,7:08.79,0.2107,0.048,-0.647765,1720.9224,19
40,800 Free Relay,M,8,2027,447.0125,7:27.01,422.6992,7:02.70,471.3258,7:51.33,0.1411,0.1374,-0.551412,1564.7244,17
52,100 Back,F,1,2027,58.0928,58.09,57.4948,57.49,58.6907,58.69,0.3575,0.0239,-0.03557,130.1938,14
52,100 Back,F,8,2027,63.1719,1:03.17,61.0759,1:01.08,65.2678,1:05.27,0.3097,0.0482,0.122063,-184.2489,13
52,100 Breast,F,1,2027,64.2438,1:04.24,61.1939,1:01.19,67.2936,1:07.29,0.2114,0.0981,-0.125926,319.4967,14
52,100 Breast,F,8,2027,71.4679,1:11.47,68.7495,1:08.75,74.1864,1:14.19,0.0128,0.713,0.0269,16.9412,13
52,100 Fly,F,1,2027,55.3737,55.37,54.3501,54.35,56.3973,56.40,0.8891,0.0,-0.231103,523.8202,14
52,100 Fly,F,8,2027,60.1841,1:00.18,57.5204,57.52,62.8478,1:02.85,0.4023,0.0268,-0.183981,433.114,12
52,100 Free,F,1,2027,51.7095,51.71,50.7254,50.73,52.6935,52.69,0.0,0.9961,0.000112,51.483,14
52,100 Free,F,8,2027,54.6093,54.61,53.5616,53.56,55.657,55.66,0.0006,0.9381,0.002184,50.1826,13
52,100 Free,F,16,2027,57.2322,57.23,54.4862,54.49,59.9782,59.98,0.2404,0.2174,-0.107222,274.5717,8
52,1650 Free,F,1,2027,1037.3522,17:17.35,1018.0136,16:58.01,1056.6908,17:36.69,0.0048,0.8223,0.116599,801.0051,13
52,1650 Free,F,8,2027,1155.7026,19:15.70,1137.6846,18:57.68,1173.7206,19:33.72,0.6776,0.0005,2.271,-3447.6137,13
52,200 Back,F,1,2027,126.4011,2:06.40,122.1816,2:02.18,130.6205,2:10.62,0.0086,0.7522,0.03138,62.7931,14
52,200 Back,F,8,2027,137.1262,2:17.13,131.8814,2:11.88,142.371,2:22.37,0.0968,0.3008,0.149299,-165.5037,13
52,200 Breast,F,1,2027,142.5344,2:22.53,136.0712,2:16.07,148.9975,2:29.00,0.0358,0.5174,-0.099257,343.7292,14
52,200 Breast,F,8,2027,158.3195,2:38.32,154.3636,2:34.36,162.2755,2:42.28,0.5617,0.005,0.371846,-595.4127,12
52,200 Fly,F,1,2027,125.8387,2:05.84,123.0693,2:03.07,128.6081,2:08.61,0.5733,0.0017,-0.256015,644.7809,14
52,200 Fly,F,8,2027,146.7708,2:26.77,141.2672,2:21.27,152.2745,2:32.27,0.5849,0.0038,0.550055,-968.1904,12
52,200 Free,F,1,2027,115.0831,1:55.08,111.7754,1:51.78,118.3908,1:58.39,0.4096,0.0137,0.219728,-330.3049,14
52,200 Free,F,8,2027,119.8605,1:59.86,118.8546,1:58.85,120.8664,2:00.87,0.5144,0.0058,0.090014,-62.5972,13
52,200 Free,F,16,2027,127.728,2:07.73,124.2516,2:04.25,131.2045,2:11.20,0.2051,0.2209,0.162596,-201.8544,9
52,200 Free Relay,F,1,2027,94.3749,1:34.37,93.7604,1:33.76,94.9893,1:34.99,0.7927,0.0,-0.104462,306.1188,13
52,200 Free Relay,F,8,2027,107.8537,1:47.85,101.4436,1:41.44,114.2638,1:54.26,0.3445,0.2207,-0.347759,812.7604,6
52,200 IM,F,1,2027,127.0465,2:07.05,123.7153,2:03.72,130.3776,2:10.38,0.1337,0.1986,-0.104351,338.565,14
52,200 IM,F,8,2027,137.3026,2:17.30,135.1635,2:15.16,139.4416,2:19.44,0.5892,0.0022,0.222712,-314.1344,13
52,200 IM,F,16,2027,146.6702,2:26.67,141.5978,2:21.60,151.7426,2:31.74,0.5152,0.045,0.385341,-634.4159,8
52,200 Medley Relay,F,1,2027,102.8527,1:42.85,101.1301,1:41.13,104.5753,1:44.58,0.8548,0.0,-0.367065,846.8943,12
52,200 Medley Relay,F,8,2027,117.9974,1:58.00,108.7407,1:48.74,127.2541,2:07.25,0.359,0.1551,-0.498441,1128.3379,7
52,400 Free Relay,F,1,2027,209.799,3:29.80,207.4955,3:27.50,212.1025,3:32.10,0.1301,0.226,-0.077459,366.8083,13
52,400 Free Relay,F,8,2027,233.5757,3:53.58,218.6622,3:38.66,248.4891,4:08.49,0.2848,0.1731,-0.993068,2246.5244,8
52,400 IM,F,1,2027,274.418,4:34.42,267.3904,4:27.39,281.4456,4:41.45,0.0111,0.7202,-0.059332,394.6839,14
52,400 IM,F,8,2027,302.183,5:02.18,288.8881,4:48.89,315.4779,5:15.48,0.1278,0.2539,0.422539,-554.3036,12
52,400 Medley Relay,F,1,2027,229.0335,3:49.03,225.3492,3:45.35,232.7177,3:52.72,0.6941,0.0004,-0.482473,1207.0056,13
